a2ps 4.15.1-1
a52dec 0.7.4-12
aalib 1.4rc5-15
abseil-cpp 20230125.1-2
accountsservice 22.08.8-4
acl 2.3.1-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.67-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.8-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
android-udev 20230303-1
aom 3.6.0-1
appstream-glib 0.8.2-1
apr 1.7.2-2
apr-util 1.6.3-1
archlinux-appstream-data-pamac 1:20230220-1
archlinux-keyring 20230225-1
archlinux-xdg-menu 0.7.6.3-2
argon2 20190702-4
arj 3.10.22-13
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.1-1
autoconf 2.71-1
automake 1.16.5-1
autorandr 1.13.3-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
azote 1.10.1-1
b43-fwcutter 019-4
base 3-1
bash 5.1.016-3
bash-completion 2.11-3
bat 0.22.1-1
bind 9.18.12-2
binutils 2.40-4
bison 3.8.2-4
blackarch-keyring 20180925-5
blackarch-menus 10.5244eea-3
blackarch-mirrorlist 20230306-1
bleachbit 4.4.2-3
blueman 2.3.5-1
bluetooth-support 1-7
bluez 5.66-1
bluez-cups 5.66-1
bluez-hid2hci 5.66-1
bluez-libs 5.66-1
bluez-plugins 5.66-1
bluez-tools 0.2.0-5
bluez-utils 5.66-1
bolt 0.9.5-1
boost-libs 1.81.0-3
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-10
btrfs-assistant 1.8-1
btrfs-progs 6.2.1-1
btrfsmaintenance 0.5-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
catfish 4.16.4-1
cdparanoia 10.2-8
chaotic-keyring 20220803-1
chaotic-mirrorlist 20230304-2
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.210-1
colord 1.4.6-1
colord-sane 1.4.6-1
confuse 3.3-3
conky 1.18.1-1
conky-manager 2.4-4
copyq 6.4.0-1
coreutils 9.1-3
cpio 2.13-3
cryptsetup 2.6.1-1
cups 1:2.4.2-6
cups-filters 1.28.17-2
cups-pdf 3.0.1-7
cups-pk-helper 0.2.7-1
curl 7.88.1-3
curlftpfs 0.9.2-8
cython 0.29.33-1
dav1d 1.1.0-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.2.18-4
dconf 0.40.0-2
default-cursors 2-1
deluge 1:2.1.1-3
deluge-gtk 1:2.1.1-3
desktop-file-utils 0.26-2
device-mapper 2.03.19-1
dex 0.9.0-1
dialog 1:1.3_20230209-1
diffutils 3.9-1
ding-libs 0.6.2-1
dmenu 5.2-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.2.1-1
downgrade 11.2.1-1.1
duktape 2.7.0-5
dunst 1.9.1-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
efibootmgr 18-1
efivar 38-2
elementary-icon-theme 7.2.0-1
enchant 2.3.4-1
espeak-ng 1.51.1-2
ethtool 1:6.2-1
evolution-data-server 3.46.4-1
exa 0.10.1-6
exfatprogs 1.2.0-1
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
expect 5.45.4-4
f2fs-tools 1.15.0-2
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.31-2
fastfetch 1.10.3-1
fatresize 1.1.0-1
feh 3.9.1-2
festival 2.5.0-4
ffmpeg 2:6.0-3
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-3
file 5.44-3
filesystem 2023.01.31-1
find-the-command-git 2.0.1.r0.gfecba1a-1.1
findutils 4.9.0-3
firedragon 110.0.1-1.1
firefox 111.0-1
fish 3.6.0-1
fish-autopair 1.0.4-1
flac 1.4.2-1
flameshot 12.1.0-1
flashfocus-git v2.3.1.r0.gaa710b9-1.1
flashrom 1.2-4
flex 2.6.4-4
fluidsynth 2.3.1-2
folks 0.15.6-1
fontconfig 2:2.14.2-1
foomatic-db 3:20230115-1
foomatic-db-engine 4:20220521-1
foomatic-db-gutenprint-ppds 5.3.4-2
foomatic-db-nonfree 3:20230115-1
foomatic-db-nonfree-ppds 3:20230115-1
foomatic-db-ppds 3:20230115-1
fprintd 1.94.2-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.12-1
fscrypt 0.3.4-1
fuse-common 3.14.0-1
fuse2 2.9.9-4
fuse3 3.14.0-1
fwupd 1.8.12-1
fwupd-efi 1.4-1
fzf 0.38.0-1
galculator 2.1.4-8
game-devices-udev 0.19-1
garcon 4.18.0-1
garuda-assistant 2.7.5-1
garuda-bash-config 1.0.3-1
garuda-blackarch 1.1.0-1
garuda-boot-options 1.0.3-1
garuda-browser-settings 1.2.3-1
garuda-common-settings 2.6.15-1
garuda-fish-config 1.5.12-1
garuda-gamer 1.1.7-1
garuda-hooks 2.9.5-1
garuda-hotfixes 1.1.2-1
garuda-i3-settings 1.1.14-1
